sno	Title	Headline	ShortDesc	Category	Location	Country	US	Distance	Count_update	Count_comment	Count_funder	Count_photo	Amount_goal	Amount_Raised	Amount_currency	Ratio	Time_Left	Current	Type	Start_year	Start_month	Start_day	End_year	End_month	End_day	Duration	Min_perk	No_min_perk	Max_perk	No_max_perk	Median_perk	No_med_perk	Total_perk	FB_like	FB_talking	Tweet_follow	Tweet_status	Youtube_avg_duration	Youtube_avg_view_count	Youtube_avg_rating
345	pt-upgrade	PT UPGRADE	Its time to upgrade PT and include the ability to share to your social outlets and provide them in one stream!	Technology	Los Angeles, California, United States	United States	0	0	1	10	15		2500	735	SD 	0.294	0	1	 Flexible Funding 	2012	5	11	2012	5	11	0	25	8	1000	0	100	5	3	0	0	0	0	0	0	0
346	firecase-a-case-that-turns-your-phone-into-a-lighter	Firecase - a case that turns your phone into a lighter	The Firecase is the very first case for an iPhone that merges with a lighter.Windproof, highly durable and easy to use.	Technology	Düsseldorf, Germany	Germany	0	0	1	9	16	1	20000	734	SD 	0.0367	0	1	 Flexible Funding 	2013	9	22	2013	11	21	5184000	5	1	3599	0	97	0	14	0	0	0	0	0	0	0
347	sleep-infuser-press-a-button-go-to-sleep	Sleep Infuser  -  Press a Button, Go to Sleep	The Sleep Infuser® is a system that uses sophisticated sound technology to induce healthy sleep patterns in those who have trouble sleeping.	Technology	Cambridge, United Kingdom	United Kingdom	0	0	2	10	4	14	50000	733	SD 	0.01466	0	1	 Fixed Funding 	2012	12	4	2013	1	20	4060800	10	0	349	0	100	0	8	0	0	0	0	122	2322	5
348	protecht-by-sekure-koncepts	Protecht by Sekure Koncepts	The Protecht Alert System helps you keep track of your loved ones, giving you peace of mind knowing they are safe.	Technology	Fort Wayne, India0, United States	United States	0	0	0	12	17		50000	730	SD 	0.0146	0	1	 Flexible Funding 	2012	11	2	2012	12	17	3888000	1	1	10000	0	250	0	9	0	0	0	0	0	0	0
349	komputer-dla-kamila-new-computer-for-kamil	Komputer dla Kamila! New Computer for Kamil!	Pomozcie zorganizowac sprzet do 0gran i prowadzenia live! Please do0te for helping me with getting new computer for producing YouTube videos.	Technology	Warsaw, Poland	Poland	0	0	0	129	74		1000	728	SD 	0.728	0	1	 Flexible Funding 	2012	8	30	2012	9	14	1296000	5	34	200	1	32.5	0	4	340391	3345	0	0	193	36907	4.391586
350	solar-van	Solar Van!	Bring solar power to the Manvan	Technology	Corvallis, Oregon, United States	United States	0	0	10	19	20	3	1800	726	SD 	0.4033333333	0	1	 Flexible Funding 	2011	10	29	2011	12	15	4060800	10	10	1800	0	50	5	3	0	0	0	0	0	0	0
351	print-a-structure-for-burning-man	Print a Structure for Burning Man	We've invented a house printer.  We want to show the world what our technology can do! Help us print a 1/100th scale model of the Face on Mars for Burning Man	Technology	Phoenix, Arizo0, United States	United States	0	0	0	9	9		20000	725	SD 	0.03625	0	1	 Flexible Funding 	2013	5	10	2013	6	30	4406400	6	0	1000	0	237.5	0	6	0	0	0	0	0	0	0
352	mystyle-app	MyStyle App	Our company is developing a mobile app that will revolutionize the way people shop, share and express their style. Please assist us in funding our vision.	Technology	Glen Cove, New York, United States	United States	0	0	0	2	8	4	25000	725	SD 	0.029	0	1	 Flexible Funding 	2013	4	12	2013	5	27	3888000	25	2	1000	0	100	1	3	0	0	0	0	0	0	0
353	pure-water-revolution	Pure Water Revolution	Every few seconds a child dies from unclean water. We now have a permanent solution. Please help us bring it to market!	Technology	Lincoln, Nebraska, United States	United States	0	0	2	19	15		100000	724	SD 	0.00724	0	1	 Flexible Funding 	2012	2	22	2012	5	1	5961600	10	3	25000	0	375	0	10	0	0	0	0	0	0	0
354	the-fastest-car-in-the-world	The Fastest Car in the World	We build the Fastest and most affordable street legal Supercar in the World. Faster and more affordable than any Bugatti, Lamborghini, Ferrari, etc.	Technology	Rialto, California, United States	United States	0	0	7	26	16	18	25000	720	SD 	0.0288	0	1	 Flexible Funding 	2012	6	1	2012	7	31	5184000	10	7	10000	0	150	0	10	0	0	0	0	0	0	0
355	project-vpass-school-security-system	Project VPASS - School Security System	Virtual Public Announcement Security System is an affordable solution to secure schools and encourage intra-school communication.	Technology	Santa Barbara, California, United States	United States	0	0	0	6	12	5	7500	720	SD 	0.096	0	1	 Flexible Funding 	2013	1	13	2013	3	5	4406400	5	1	1000	0	75	0	8	0	0	0	0	0	0	0
356	the-spark-collective-supper-club	The Spark Collective Supper Club	Bringing Good Conversation and Collaboration to the Table	Technology	Los Angeles, California, United States	United States	0	0	0	5	8		1200	720	SD 	0.6	0	1	 Flexible Funding 	2011	10	17	2011	11	16	2592000	10	1	200	2	60	0	5	0	0	0	0	0	0	0
357	iliments-hear-the-music	iliments - HEAR The Music	What's more important, the label or the experience? HEAR your music for first time..again.	Technology	Charlotte, North Caroli0, United States	United States	0	0	1	8	9	8	8500	720	SD 	0.0847058824	0	1	 Fixed Funding 	2013	8	21	2013	10	10	4320000	1	0	1000	0	65	0	6	0	0	0	0	0	0	0
358	indie-builder	Indie Builder	A web site to help indie game developers find other talented people, collaborate on games, and finish their own.	Technology	Orlando, Florida, United States	United States	0	0	2	24	26	4	11500	720	SD 	0.0626086957	0	1	 Fixed Funding 	2012	9	29	2012	10	29	2592000	5	3	100	2	35	8	5	0	0	0	0	0	0	0
359	mugshot-mobile-app	Mugshot Mobile App	Take a picture, see their arrest photos. For iPhone and Android.	Technology	Prescott, Arizo0, United States	United States	0	0	3	15	22		5000	715	SD 	0.143	0	1	 Fixed Funding 	2012	11	27	2012	12	15	1555200	5	3	1000	0	50	3	5	0	0	0	0	0	0	0
360	p2p-secure-encrypted-email-system-flowingmail	P2P, secure, encrypted email system: FlowingMail	The future of emails: ALWAYS encrypted automatically, NEVER transit through a central server like Gmail, Yahoo or NSA, addresses cannot be forged	Technology	Ljublja0, Slovenia	Slovenia	0	0	16	13	29	4	100000	715	SD 	0.00715	0	1	 Flexible Funding 	2013	9	17	2013	11	1	3888000	1	0	2222	0	22	18	5	0	0	0	0	0	0	0
361	get-me-on-the-startupbus-to-sxsw-2013	Get me on the StartupBus to SXSW 2013	A team of strangers on a bus have 72 hours to conceive, build, and launch a Startup to pitch at SXSW	Technology	Cleveland, Ohio, United States	United States	0	0	1	5	11		500	715	SD 	1.43	0	1	 Flexible Funding 	2013	2	19	2013	3	6	1296000	25	3	500	0	75	1	5	0	0	0	0	0	0	0
362	myzharbot-your-perso0l-mobile-robot	MyzharBot - Your perso0l mobile robot	MyzharBot is an autonomous robot based on Linux. It is a robotics project that uses Computer Vision to detect obstacle, target, people and more.	Technology	Massa (MS), Italy	Italy	0	0	10	15	7	18	8000	712	SD 	0.089	0	1	 Flexible Funding 	2012	8	27	2012	12	25	10368000	1	1	600	1	80	0	8	0	0	0	0	0	0	0
363	beefm-social-music-experience	BeeFM - Social Music Experience	Let’s build together a real social alter0tive to traditio0l radio. With BeeFM you discover music both from your favorite artists and from emerging artists.	Technology	Tel Aviv, Israel	Israel	0	0	5	11	32		25000	710	SD 	0.0284	0	1	 Flexible Funding 	2013	9	1	2013	10	11	3456000	5	8	1000	0	40	1	9	1769	25	0	0	74.8888888889	621	5
364	the-kraken-the-first-dual-independent-pinch-wheel-extruder-for-3d-printers		Get everything you want from your 3D Printer - faster speeds, better accuracy, larger prints and more nozzles - all from the one revolutio0ry extruder!	Technology	Melbourne, Australia	Australia	0	0	4	14	4		30000	710	SD 	0.0236666667	0	1	 Fixed Funding 	2013	8	22	2013	10	6	3888000	5	2	5000	0	600	0	8	0	0	0	0	0	0	0
365	adnonify-take-back-your-privacy--11	Adnonify - Take back your privacy	Adnonify is a simple plug   play network device that will e0ble you to hide your location and remove all advertising without any changes to your computer	Technology	Malaga, Spain	Spain	0	0	3	5	8	1	100000	710	UR 	0.0071	0	1	 Fixed Funding 	2013	6	25	2013	8	24	5184000	2	7	2	7	2	7	3	0	0	0	0	31.6764705882	16575494.2941176	0.8902576176
366	--18675	Untitled Draft Project		Technology			0	0	0	0	13		40000	707	AD 	0.017675	0	1	 Flexible Funding 	2013	4	2	2013	5	17	3888000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
367	all-terrain-segway-wheelchair	All Terrain Segway Wheelchair	Raising funds to develop a prototype all terrain Segway type wheelchair, break down the barriers conventio0l wheelchairs get stuck against	Technology	Aylesbury, Bucks, United Kingdom	United Kingdom	0	0	1	9	34		3500	706	BP 	0.2017142857	0	1	 Flexible Funding 	2013	9	26	2013	11	15	4320000	2	3	2	3	2	3	1	0	0	0	0	0	0	0
368	better-air-for-your-lungs	Better air for your lungs	Eco Air Filtration: *Great for the air you inhale*Better for our environment	Technology	Phoenix, Arizo0, United States	United States	0	0	0	4	12		250000	705	SD 	0.00282	0	1	 Flexible Funding 	2013	3	2	2013	4	13	3628800	10	1	10000	0	65	6	7	2017	6	0	0	0	0	0
369	raumschaum-building-a-3d-foam-cutter	raumschaum: Building a 3D foam cutter	An affordable alter0tive to contemporary 3D printing.	Technology	Je0, Germany	Germany	0	0	8	3	11	10	4000	705	UR 	0.17625	0	1	 Flexible Funding 	2012	9	7	2012	10	12	3024000	2	1	2	1	2	1	7	190	0	0	0	0	0	0
370	talking-life	Talking life	We are trying to carry out a project to communicate with microorganisms through a language based on light.	Technology	Valencia, Spain	Spain	0	0	5	17	17	18	5000	700	SD 	0.14	0	1	 Flexible Funding 	2012	8	1	2012	11	9	8640000	10	10	100	4	40	3	3	0	0	0	0	0	0	0
371	callback-an-ios-and-android-app	Callback: An iOS and Android App	TO EMPOWER TALENT BY PROVIDING A TOOL FOR BUSINESS MA0GEMENT THAT WILL DRIVE CAREER GROWTH.	Technology	Atlanta, Georgia, United States	United States	0	0	3	6	13		10000	700	SD 	0.07	0	1	 Flexible Funding 	2013	9	3	2013	10	1	2419200	25	8	1000	0	300	0	4	156	5	0	0	0	0	0
372	vpartments-3d-social-networking-you-ll-love-it	VPartments - 3D Social Networking - You'll Love-It	We are building a social network that will take your online life off of the static web page   put you into Your Real Online Home.	Technology	Atlanta, Georgia, United States	United States	0	0	0	1	17	1	120000	700	SD 	0.0058333333	0	1	 Flexible Funding 	2013	4	25	2013	5	25	2592000	10	7	10000	0	150	2	9	0	0	0	0	0	0	0
373	blank--373	blank		Technology	United States	United States	0	0	1	10	4		50000	700	SD 	0.014	0	1	 Flexible Funding 	2013	8	19	2013	10	4	3974400	0	0	0	0	0	0	0	0	0	0	0	0	0	0
374	orthograph-architect-android-intuitive-floor-plan-survey-app-that-supports-bim		OrthoGraph Architect is a professio0l BIM building survey App running on iPad. Now we would like to make it available for Android and on demand for desktop.	Technology	Cheyenne, Wyoming, United States	United States	0	0	20	34	19	23	25000	698	SD 	0.02792	0	1	 Flexible Funding 	2013	10	1	2013	11	30	5184000	1	8	5000	0	105	0	10	0	0	0	0	0	0	0
375	crowd-sourcing-genealogy	Crowd-Sourcing Genealogy	Would you like to pay $5 to get someone to send you a picture of your ancestral village, or great grandma's house? Our software makes this possible!	Technology	Cardston, Alberta, Ca0da	Ca0da	0	0	3	9	12	2	26000	695	SD 	0.0267307692	0	1	 Flexible Funding 	2013	10	22	2013	11	21	2592000	5	1	5000	0	77.5	0	8	0	0	0	0	0	0	0
376	edgelights-a-fusion-of-art-technology	EdgeLights - A Fusion of Art   Technology	A creative fusion of art   technology. Add a new twist to your everyday pictures   graphics.	Technology	Baltimore, Maryland, United States	United States	0	0	3	11	9	7	8600	695	SD 	0.0808139535	0	1	 Fixed Funding 	2012	10	30	2012	11	29	2592000	5	0	500	0	62.5	0	6	0	0	0	0	0	0	0
377	frankencam-diy-raw-video-camera-prototype	Frankencam DIY RAW Video Camera Prototype	Build your own 1080p, 60 fps, 8 and 12 bit RAW Video Camera - from off-the-shelf, easily sourced, durable parts - for less than you think!	Technology	Easley, South Caroli0, United States	United States	0	0	1	11	12	3	4000	695	SD 	0.17375	0	1	 Flexible Funding 	2013	2	19	2013	4	20	5184000	5	1	150	2	35	1	11	0	0	0	0	0	0	0
378	barters-closet-mobile-application	Barters Closet Mobile Application	We are looking to fund the development of an application that would allow users to barter, sell and do0te clothes from their phone.	Technology	Spokane, Washington, United States	United States	0	0	0	5	4	6	20000	690	SD 	0.0345	0	1	 Flexible Funding 	2013	10	3	2013	12	2	5184000	6	1	2500	0	75	0	9	802	57	0	0	0	0	0
379	the-neon-gets-cyclists-seen-by-motorists	The NEON gets Cyclists SEEN by Motorists!	"The NEON is a bicycle helmet cover that produces an intensely bright ""Neon Like"" light that can be seen from 1,200+ feet away at night!"	Technology	Austin, Texas, United States	United States	0	0	2	2	6	9	50000	690	SD 	0.0138	0	1	 Flexible Funding 	2012	6	6	2012	7	9	2851200	5	1	10000	0	100	0	9	0	0	0	0	0	0	0
380	high-five--18	High Five	Introduces users	Technology	San Mateo, California, United States	United States	0	0	3	14	13		13000	690	SD 	0.0530769231	0	1	 Flexible Funding 	2013	3	29	2013	5	17	4233600	2	1	100	2	24	0	7	218	0	0	0	0	0	0
381	join-the-remote-controlled-spacecraft-mission	Join The Remote Controlled Spacecraft Mission!	Initiate the start of your perso0l Space Program. Join the Mission Control Team!	Technology	Mojave, Paris, Vidulini, Tuzla, United States	United States	0	0	8	8	8	8	45000	688	SD 	0.0152888889	0	1	 Flexible Funding 	2012	10	4	2012	11	8	3024000	5	1	987	0	72	0	12	0	0	0	0	0	0	0
382	dipper	Dipper	a small, affordable and open source UWB radar.	Technology	Oslo, Norway	Norway	0	0	2	13	5	2	20000	685	SD 	0.03425	0	1	 Fixed Funding 	2012	10	3	2012	11	2	2592000	5	0	850	0	62.5	0	4	0	0	0	0	0	0	0
383	savyswap-a-new-way-to-trade	SavySwap: A New Way To Trade	Introducing social bartering; a new way to buy better, sell smarter, and get connected!.	Technology	Philadelphia, Pennsylvania, United States	United States	0	0	1	15	18	3	35000	681	SD 	0.0194571429	0	1	 Flexible Funding 	2012	12	8	2013	1	12	3024000	1	1	2500	0	87.5	0	12	0	0	0	0	0	0	0
384	gnupanel-2-0-the-free-alter0tive-for-cpanel	GNUPanel 2.0 - The FREE alter0tive for CPanel	A Universal and reliable solution from the GNU/Linux community for the Web Hosting industry.	Technology	Buenos Aires, Argenti0	Argenti0	0	0	4	18	38	1	25000	778	SD 	0.03112	5	1	 Fixed Funding 	2013	10	21	2013	12	9	4233600	5	4	2500	0	100	2	9	2981	2	0	0	0	0	0
385	kafe-kyrgyzstan	Kafe Kyrgyzstan	A place to check your email in Kochkor Village, Kyrgyzstan - Cultural Heritage Museum and Internet Cafe	Technology	Kochkor, Kyrgyzstan	Kyrgyzstan	0	0	0	2	13		3126	676	SD 	0.2162507997	11	1	 Flexible Funding 	2013	10	16	2013	12	15	5184000	8	2	600	0	65	2	5	2425	20	0	0	0	0	0
386	the-vault-file-and-folder-protection-through-hardware-encryption		"The Vault provides military-level encryption security with a simple USB device and ""drag and drop"" interface."	Technology	Kelow0, British Columbia, Ca0da	Ca0da	0	0	5	9	15	3	2000	676	AD 	0.338	0	1	 Flexible Funding 	2013	7	2	2013	8	1	2592000	2	1	300	0	55	0	6	0	0	0	0	0	0	0
387	answercents-com-an-effective-and-socially-conscious-q-a		The first Q A website that can pay hundreds of users for participating on a single question and directly integrates charitable do0ting.	Technology	Los Angeles, California, United States	United States	0	0	4	13	14	33	15000	676	SD 	0.0450666667	0	1	 Flexible Funding 	2013	6	3	2013	7	28	4752000	5	1	2500	0	40	6	5	0	0	0	0	0	0	0
388	love-lab-free-authenticated-dating-app	Love Lab - FREE Authenticated Dating App	We authenticate singles   connect them with a platform that allows them to find, see   speak to each other without having to exchange contact info first.	Technology	Palm Beach Gardens, Florida, United States	United States	0	0	3	4	4	1	250000	675	SD 	0.0027	6	1	 Flexible Funding 	2013	11	10	2013	12	10	2592000	25	1	10000	0	1750	0	6	842	2	0	0	0	0	0
389	revolutionizing-how-music-albums-are-sold	Revolutionizing how Music Albums are Sold	The Flarian Music Player is an alter0tive to CDs to sell music albums on. It would allow you to play albums right off the shelf.	Technology	Toronto, Ontario, Ca0da	Ca0da	0	0	0	4	6		30000	675	SD 	0.0225	0	1	 Flexible Funding 	2013	4	21	2013	5	21	2592000	5	1	4500	0	87	0	12	0	0	0	0	0	0	0
390	ecommunity-s-first-indiegogo-campaign	ecommunity's FIRST indiegogo campaign!	Simultaneous environmental and social business!  Ecommunity recycles electronic waste by respectfully employing the special needs population!	Technology	Karmiel~Misgav, Israel	Israel	0	0	2	8	10	4	75000	674	SD 	0.0089866667	0	1	 Verified Nonprofit ,  Flexible Funding 	2013	9	8	2013	10	11	2851200	1	1	7200	0	540	0	8	101	0	0	0	0	0	0
391	reroute	reRoute	A commute optimization tool designed to help the user compare the relative efficiencies between competing routes.	Technology	Henderson, Colorado, United States	United States	0	0	0	4	7	2	3200	670	SD 	0.209375	0	1	 Fixed Funding 	2012	3	21	2012	4	20	2592000	1	0	300	0	55	0	12	0	0	0	0	0	0	0
392	teddy-sitter--2	Teddy Sitter	Teddy Sitter is a fun and interactive educatio0l plush toy for kids.  Parents can check their child's well-being and surroundings via a mobile application.	Technology	Paris, France	France	0	0	1	2	8	4	200000	667	UR 	0.003335	0	1	 Flexible Funding 	2013	2	11	2013	3	28	3888000	2	3	2	3	2	3	6	0	0	0	0	0	0	0
393	swapptalk--12	SwappTalk	SwappTalk makes sure that you never miss out on calling for free!	Technology	Herning, Denmark	Denmark	0	0	0	1	8		20000	665	SD 	0.03325	0	1	 Fixed Funding 	2013	3	31	2013	5	1	2678400	10	0	1000	0	55	0	6	0	0	0	0	24.9117647059	16540761.1470588	0.6588869794
394	i-n-t-r-u-d-e-r	I N T R U D E R	The Intruder is a state of the art security device for your windows, sliding doors and more. The Intruder allows you to have an open window with no worries.	Technology	Seattle, Washington, United States	United States	0	0	0	1	16		100000	739	SD 	0.00739	37	1	 Fixed Funding 	2013	11	11	2014	1	10	5184000	5	3	100000	0	54	0	14	0	0	0	0	0	0	0
395	e0ble-gwt-to-preserve-java-debugging-info-in-production		Will overhaul GWT to give developers accurate Java-like stack traces for all JavaScript exceptions in a compiled GWT app deployed in any browser.	Technology	Boston, Massachusetts, United States	United States	0	0	1	5	7		6500	661	SD 	0.1016923077	0	1	 Flexible Funding 	2013	7	15	2013	8	23	3369600	10	1	6500	0	500	1	11	0	0	0	0	0	0	0
396	help-me-reduce-violence-by-10-percent-in-10-years	Help Me Reduce Violence by 10 percent in 10 years	10 for Humanity will create 10 technologies to reduce violence globally by 10% in 10 years. Our aim is to make the world a safer, more peace place.	Technology	Raleigh, North Caroli0, United States	United States	0	0	4	2	11	4	35000	660	SD 	0.0188571429	0	1	 Flexible Funding 	2013	3	3	2013	4	12	3456000	35	1	5000	0	750	0	6	0	0	0	0	0	0	0
397	the-community-card-identity-theft-protection	The Community Card-Identity Theft Protection	One card for your information secured by your BioPIN - easy access and use of fi0ncial, medical, and password information, without the need to remember PINs!	Technology	Blackshear, Georgia, United States	United States	0	0	0	31	9	7	45000	660	SD 	0.0146666667	0	1	 Flexible Funding 	2012	8	8	2012	9	22	3888000	10	0	7000	0	395	0	12	0	0	0	0	0	0	0
398	audiochroma-music-visualizing-electronic-candle	AudioChroma - Music Visualizing Electronic Candle	The AudioChroma candle illumi0tes its surroundings with vivid color patterns, in response to music being played nearby.	Technology	Yokohama, Japan	Japan	0	0	0	2	4	1	35000	660	SD 	0.0188571429	0	1	 Flexible Funding 	2013	4	25	2013	5	25	2592000	30	1	500	0	50	1	9	30	0	0	0	0	0	0
399	panda-instruments-bamboo-keyboard	Panda Instruments' Bamboo Keyboard	We are building eco-friendly keyboards with design and functio0lity at their heart.	Technology	Tampa, Florida, United States	United States	0	0	1	30	12	10	10000	659	SD 	0.0659	0	1	 Flexible Funding 	2013	3	2	2013	4	1	2592000	10	1	79	4	39	0	7	0	0	0	0	0	0	0
400	the-biomedical-atom-microscope	The Biomedical Atom Microscope	Optical microscopes magnify x1,000. Atom microscopes magnify x1,000,000. Help build an atom microscope for biomedical research.	Technology	Sydney, Australia	Australia	0	0	0	17	9	3	50000	658	SD 	0.01316	0	1	 Flexible Funding 	2012	10	15	2012	12	24	6048000	1	1	15000	0	225	0	8	0	0	0	0	0	0	0
401	bitfrore-bitcoin-cold-paper-wallet-printer	Bitfrore - Bitcoin Cold Paper Wallet Printer	One Touch.Malware Proof.Cold Paper Wallet Printing	Technology	Herrenberg, Germany	Germany	0	0	3	4	6	5	25000	654	UR 	0.02616	0	1	 Fixed Funding 	2013	7	23	2013	9	6	3888000	2	0	2	0	2	0	5	0	0	0	0	0	0	0
402	graphic-rendering-pc-project	Graphic   Rendering PC Project	The Mission: To build a computer capable of producing the high quality content I'd like to be able to create.	Technology	Sydney, Australia	Australia	0	0	0	17	11	1	600	653	SD 	1.0883333333	0	1	 Flexible Funding 	2012	8	21	2012	9	20	2592000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
403	the-flik-r-switch	The FLIK'r Switch	The FLIK'r Switch; a self powered and wireless remote switch that also dims to control  loads like lights, fans, and other appliances. No batteries needed.	Technology	Ronkonkoma, New York, United States	United States	0	0	13	0	9	50	100000	651	SD 	0.00651	0	1	 Flexible Funding 	2013	6	14	2013	9	13	7862400	10	0	500000	0	300	0	17	0	0	0	0	0	0	0
404	devchat-tv	DevChat.tv	We currently produce 4 podcasts for programmers. Devchat.tv is an effort to consolidate the shows into one website and support other programmer-centric podcasts	Technology	Lehi, Utah, United States	United States	0	0	0	6	20		12000	651	SD 	0.05425	0	1	 Flexible Funding 	2013	5	3	2013	7	2	5184000	10	8	7000	0	550	0	6	0	0	0	0	0	0	0
405	news-bubble-don-t-just-read-the-news-report-it	News Bubble. Don't just read the news, report it.	A mobile app and web newspaper to allow every person on the planet to report and read the news. Free, fast, unbiased and uncensored.	Technology	London, United Kingdom	United Kingdom	0	0	0	13	11	1	20000	650	SD 	0.0325	0	1	 Flexible Funding 	2012	11	15	2012	12	15	2592000	15	0	8000	0	112.5	0	6	0	0	0	0	0	0	0
406	bio-tech-beyond	Bio, Tech   Beyond	Community lab and startup incubator. Democratizing biotech by empowering citizen scientists and entrepreneurs via access to tools, mentoring and expertise.	Technology	Carlsbad, California, United States	United States	0	0	4	5	8	2	50000	646	SD 	0.01292	0	1	 Verified Nonprofit ,  Flexible Funding 	2013	7	11	2013	8	30	4320000	1	0	25000	0	150	1	11	107	1	0	0	0	0	0
407	little-rooster-for-men--9	Little Rooster for Men	The world's first alarm clock specifically designed so you can love mornings.	Technology	London, United Kingdom	United Kingdom	0	0	2	16	15	1	25000	643	SD 	0.02572	0	1	 Fixed Funding 	2012	11	11	2012	12	24	3715200	1	1	69	0	49	13	5	0	0	0	0	0	0	0
408	make-your-business-simple-with-tooljar	Make your business simple with ToolJar	Business tools one click away: save time, save money, save headache	Technology	Milano, Italy	Italy	0	0	9	23	18	9	17500	641	SD 	0.0366285714	0	1	 Flexible Funding 	2012	8	11	2012	9	25	3888000	1	5	5000	0	290	0	10	0	0	0	0	0	0	0
409	inradius-a-time-saving-mobile-app	InRadius: A Time-Saving Mobile App	InRadius is a user friendly mobile app that helps users 0vigate through life a little easier by having full control of their time.	Technology	Durham, North Caroli0, United States	United States	0	0	3	9	9	4	50000	640	SD 	0.0128	0	1	 Flexible Funding 	2013	5	19	2013	6	18	2592000	5	2	5000	0	100	0	9	0	0	0	0	0	0	0
410	net2mobi-ltd-presents-scheduling-solution-for-self-employed-and-small-business		Gmail user? Convert your Google calendar into an automated appointment booking platform and a mobile website - No Download, For the web   mobiles	Technology	London, United Kingdom	United Kingdom	0	0	3	2	8	8	10000	640	SD 	0.064	0	1	 Fixed Funding 	2013	9	6	2013	11	5	5184000	20	7	10000	0	100	0	5	0	0	0	0	0	0	0
411	bringing-robotic-trading-to-the-people	Bringing Robotic Trading to the People	Profitable robotic trading is currently limited to big banks and hedge funds. Our aim is to bring robotic trading to the people with a new cloud based robot!	Technology	Bellevue, Washington, United States	United States	0	0	0	3	5	2	50000	640	SD 	0.0128	0	1	 Flexible Funding 	2013	6	19	2013	7	3	1209600	1	0	10000	0	550	0	9	0	0	0	0	0	0	0
412	better-sleep-an-app-created-by-sleep-experts-to-treat-insomnia		Better Sleep delivers cognitive behavioral therapy to help you sleep.	Technology	Montreal, Quebec, Ca0da	Ca0da	0	0	3	8	36		14000	639	SD 	0.0456428571	0	1	 Flexible Funding 	2013	8	16	2013	9	15	2592000	1	1	320	0	15	0	6	68	0	0	0	0	0	0
413	project-robo-goby-rov-submersible	Project Robo Goby - ROV Submersible	We are a group of high school students designing a small, affordable, research submersible.	Technology	Freeport, Maine, United States	United States	0	0	0	4	11		5000	670	SD 	0.134	45	1	 Flexible Funding 	2013	11	19	2014	1	18	5184000	5	2	500	0	150	0	5	89	10	0	0	144.8571428571	19.7142857143	0
414	iretainrx-mobile-app-for-diabetes	iRetainRx: Mobile App for Diabetes	iRetainRx helps people take medications correctly	Technology	Sunnyvale, California, United States	United States	0	0	0	4	5	8	30000	635	SD 	0.0211666667	0	1	 Flexible Funding 	2012	7	11	2012	9	22	6307200	10	1	500	1	75	0	6	0	0	0	0	0	0	0
415	ecar-de-anza-college	eCar De Anza College	De Anza Students to  Build a Scale e-Car	Technology	Cupertino, California, United States	United States	0	0	6	37	16	19	1000	631	SD 	0.631	0	1	 Flexible Funding 	2012	10	30	2012	12	14	3888000	1	1	50	6	17.5	0	4	0	0	0	0	0	0	0
416	spyre-smoking-cessation	Spyre: Smoking Cessation	Spyre is a mobile application that helps smokers quit.	Technology	New York City, New York, United States	United States	0	0	0	7	4		7500	630	SD 	0.084	0	1	 Flexible Funding 	2012	9	29	2012	10	31	2764800	25	1	1000	0	100	1	3	0	0	0	0	0	0	0
417	chroma-notes-composer-music-composition-and-education-software		This revolutio0ry software from the inventor of Boomwhackers Musical Tubes makes music composition and reading music notation colorfully available to everyone!	Technology	Sedo0, Arizo0, United States	United States	0	0	0	9	8		36000	630	SD 	0.0175	0	1	 Flexible Funding 	2011	12	23	2012	3	1	5961600	10	0	25000	0	375	0	12	0	0	0	0	0	0	0
418	take-the-lgbt-history-app-to-the-next-level	Take the LGBT History App to the Next Level	Add additio0l features and stories to the Quist mobile app about LGBTQ history.	Technology	Washington, District of Columbia, United States	United States	0	0	0	1	17		15000	626	SD 	0.0417333333	0	1	 Flexible Funding 	2013	10	28	2013	11	22	2160000	10	0	400	0	80	0	20	0	0	0	0	0	0	0
419	holo-at-home-3d-holographic-experience	holo-at-home 3D holographic experience	Show magical 3D holographic content at home with your own smartphone or tablet.	Technology	Hoorn, Netherlands	Netherlands	0	0	4	17	14	4	30000	625	UR 	0.0208333333	0	1	 Flexible Funding 	2013	1	15	2013	3	16	5184000	2	0	2	0	2	0	5	0	0	0	0	0	0	0
420	nuclear-fusion-for-nuclear-medicine	Nuclear Fusion for Nuclear Medicine	This project seeks to substantially reduce the costs producing much-needed medical isotopes that are used to treat various diseases.	Technology	St. Louis, Missouri, United States	United States	0	0	3	5	3	3	12000	625	SD 	0.0520833333	0	1	 Flexible Funding 	2012	8	29	2012	9	28	2592000	25	1	1000	0	300	0	4	0	0	0	0	0	0	0
421	gee-wey-s-christmas-phone	Gee-Wey's Christmas Phone	Gee-Wey uses an old old pink phone.He deserves better. Join me and fellow friends to help him upgrade.	Technology	Houston, Texas, Texas, United States	United States	0	0	3	29	29	5	600	621	SD 	1.035	0	1	 Fixed Funding 	2012	12	3	2012	12	20	1468800	5	2	50	1	22.5	0	12	0	0	0	0	0	0	0
422	linux-outlaws-at-fosdem	Linux Outlaws at FOSDEM	Get Dan to FOSDEM 2011 for some Linux Outlaws recordings!	Technology			0	0	2	5	24	1	500	620	SD 	1.24	0	1	 Flexible Funding 	2010	12	30	2011	1	20	1814400	10	15	150	1	50	1	3	0	0	0	0	0	0	0
